日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,RSI 极端信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2021/07/09,卖出,中矿资源(002738),35200,8900,60.4,60.00,100.7,高估,当前价格高估0.7%，存在估值风险,2126080.0,4677.38,减仓 80% (slight_overvalue),60.4,82.73,6.6718,4.4343,2.2375,53.65,33.61,13.58,927416,1.39,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,小金属,68.09,33.4,75.19,31.0
2021/08/27,卖出,赣锋锂业(002460),6400,0,196.35,50.00,392.7,高估,当前价格高估292.7%，存在估值风险,1256640.0,2764.61,减仓 100% (extreme_overvalue),196.35,72.89,23.9068,18.8261,5.0807,210.24,140.68,71.12,1706562,0.91,轨道之间,✓,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,能源金属,66.06,25.33,72.56,22.83
2021/09/17,买入,人福医药(600079),6400,38500,19.55,28.00,69.8,低估,当前价格低估30.2%，符合安全边际要求,125120.0,152.65,加仓 20%持仓价值 (obvious_undervalue),19.55,31.48,-2.2249,-1.7225,-0.5024,31.22,25.45,19.69,961711,1.33,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2021/12/10,卖出,中矿资源(002738),8900,0,75.77,60.00,126.3,高估,当前价格高估26.3%，存在估值风险,674353.0,1483.58,减仓 100% (extreme_overvalue),75.77,68.2,6.0661,5.678,0.3881,72.77,60.81,48.85,961250,1.33,上轨之上,✓,✓,✗,✓,✓,4/4,卖出信号：价值比过滤器+2个卖出维度,小金属,68.09,33.4,75.19,31.0
2023/06/21,买入,神火股份(000933),17500,168200,13.01,37.00,35.2,低估,当前价格低估64.8%，符合安全边际要求,227675.0,273.21,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入17500股),13.01,37.64,-0.8343,-0.3423,-0.492,20.49,16.31,12.14,862738,0.46,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2023/06/30,买入,神火股份(000933),1900,170100,13.0,37.00,35.1,低估,当前价格低估64.9%，符合安全边际要求,24700.0,29.7,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入1900股),13.0,37.6,-0.9136,-0.4566,-0.457,20.5,16.11,11.71,1567946,0.87,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2023/08/04,买入,中矿资源(002738),17500,17500,43.64,60.00,72.7,低估,当前价格低估27.3%，但未达到安全边际要求,763700.0,916.44,开仓 5%总资产 (slight_undervalue),43.64,27.4,-8.5207,-6.6346,-1.8862,87.29,62.75,38.21,845797,1.2,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/11,买入,中矿资源(002738),1700,19200,42.59,60.00,71.0,低估,当前价格低估29.0%，但未达到安全边际要求,72403.0,86.88,加仓 10%持仓价值 (slight_undervalue),42.59,26.75,-8.8096,-7.0696,-1.74,87.21,61.4,35.58,409022,0.62,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/18,买入,中矿资源(002738),3800,23000,40.36,60.00,67.3,低估,当前价格低估32.7%，符合安全边际要求,153368.0,184.04,加仓 20%持仓价值 (obvious_undervalue),40.36,25.37,-9.1134,-7.4783,-1.635,86.92,59.9,32.87,383052,0.65,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/08/25,买入,中矿资源(002738),4600,27600,37.26,60.00,62.1,低估,当前价格低估37.9%，符合安全边际要求,171396.0,205.68,加仓 20%持仓价值 (obvious_undervalue),37.26,23.54,-9.4948,-7.8816,-1.6132,86.91,58.4,29.89,586792,1.06,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/01,买入,中矿资源(002738),5500,33100,37.23,60.00,62.0,低估,当前价格低估38.0%，符合安全边际要求,204765.0,245.72,加仓 20%持仓价值 (obvious_undervalue),37.23,23.53,-9.6879,-8.2429,-1.445,85.22,56.47,27.72,637714,1.26,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/08,买入,中矿资源(002738),6600,39700,38.44,60.00,64.1,低估,当前价格低估35.9%，符合安全边际要求,253704.0,304.44,加仓 20%持仓价值 (obvious_undervalue),38.44,25.93,-9.6322,-8.5207,-1.1114,83.21,54.67,26.13,1034634,1.57,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/15,买入,中矿资源(002738),7900,47600,37.69,60.00,62.8,低估,当前价格低估37.2%，符合安全边际要求,297751.0,357.3,加仓 20%持仓价值 (obvious_undervalue),37.69,25.4,-9.5386,-8.7243,-0.8143,80.44,52.75,25.07,733465,0.98,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/22,买入,中矿资源(002738),9500,57100,37.55,60.00,62.6,低估,当前价格低估37.4%，符合安全边际要求,356725.0,428.07,加仓 20%持仓价值 (obvious_undervalue),37.55,25.29,-9.3678,-8.853,-0.5148,77.18,50.85,24.52,623995,0.82,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2023/09/28,买入,中矿资源(002738),8100,65200,36.41,60.00,60.7,低估,当前价格低估39.3%，符合安全边际要求,294921.0,353.91,加仓 20%持仓价值 (obvious_undervalue) (受15%总仓位上限约束，实际买入8100股),36.41,24.41,-9.2181,-8.926,-0.2921,72.66,48.77,24.89,519312,0.71,轨道之间,✓,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2024/01/26,卖出,淮北矿业(600985),17000,68400,17.57,25.00,70.3,低估,当前价格低估29.7%，但未达到安全边际要求,298690.0,663.09,减仓 20% (slight_undervalue_sell),17.57,70.44,1.1338,0.92,0.2139,18.38,15.25,12.12,724885,0.82,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/02/02,买入,中矿资源(002738),11900,77100,29.52,60.00,49.2,低估,当前价格低估50.8%，符合安全边际要求,351288.0,421.55,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入11900股),29.52,31.14,-4.0058,-4.8076,0.8017,40.83,36.65,32.48,1293280,0.89,下轨之下,✓,✓,✗,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2024/02/02,买入,人福医药(600079),7700,46200,18.76,28.00,67.0,低估,当前价格低估33.0%，符合安全边际要求,144452.0,176.23,加仓 20%持仓价值 (obvious_undervalue),18.76,30.6,-0.6558,-0.1491,-0.5067,27.17,23.71,20.25,945194,1.42,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2024/02/02,买入,安井食品(603345),2100,6400,71.99,126.00,57.1,低估,当前价格低估42.9%，符合安全边际要求,151179.0,184.44,加仓 50%持仓价值 (extreme_undervalue),71.99,22.06,-15.097,-12.5076,-2.5894,142.16,109.6,77.04,311577,1.11,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,食品加工,55.58,26.75,63.03,24.82
2024/02/23,卖出,淮北矿业(600985),13600,54800,19.59,25.00,78.4,低估,当前价格低估21.6%，但未达到安全边际要求,266424.0,591.46,减仓 20% (slight_undervalue_sell),19.59,77.59,1.3332,1.0746,0.2585,19.35,16.05,12.75,1631865,1.55,上轨之上,✓,✓,✗,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/03/08,卖出,中国神华(601088),16500,16500,39.75,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,655875.0,1456.04,减仓 50% (fair_value),39.75,75.71,2.394,1.6428,0.7512,40.06,33.44,26.82,1797260,0.98,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/06/28,卖出,中国神华(601088),8200,8300,44.37,45.00,98.6,低估,当前价格低估1.4%，但未达到安全边际要求,363834.0,807.71,减仓 50% (fair_value),44.37,70.82,2.6661,2.4825,0.1836,44.99,40.62,36.26,1041641,0.89,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/08/23,买入,淮北矿业(600985),27400,82200,13.46,25.00,53.8,低估,当前价格低估46.2%，符合安全边际要求,368804.0,449.94,加仓 50%持仓价值 (extreme_undervalue),13.46,33.32,-0.8451,-0.3259,-0.5193,21.31,17.0,12.7,889856,1.16,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/02/21,买入,中国神华(601088),800,9100,35.38,45.00,78.6,低估,当前价格低估21.4%，但未达到安全边际要求,28304.0,34.53,加仓 10%持仓价值 (slight_undervalue),35.38,34.0,-0.6696,-0.098,-0.5716,43.86,40.37,36.89,2593196,2.04,下轨之下,✓,✓,✗,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/02/21,买入,陕西煤业(601225),31800,95500,19.53,40.00,48.8,低估,当前价格低估51.2%，符合安全边际要求,621054.0,757.69,加仓 50%持仓价值 (extreme_undervalue),19.53,32.0,-0.9825,-0.6068,-0.3757,26.38,23.2,20.02,2341010,1.82,下轨之下,✓,✓,✗,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/02/28,买入,陕西煤业(601225),37000,132500,18.95,40.00,47.4,低估,当前价格低估52.6%，符合安全边际要求,701150.0,855.4,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入37000股),18.95,30.19,-1.1528,-0.716,-0.4368,26.39,22.88,19.36,2180008,1.23,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/03/21,买入,中煤能源(601898),21000,63100,10.23,20.00,51.1,低估,当前价格低估48.9%，符合安全边际要求,214830.0,262.09,加仓 50%持仓价值 (extreme_undervalue),10.23,34.07,-0.6492,-0.4759,-0.1733,13.49,11.55,9.62,1912858,0.97,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/03/28,买入,中煤能源(601898),31500,94600,10.12,20.00,50.6,低估,当前价格低估49.4%，符合安全边际要求,318780.0,388.91,加仓 50%持仓价值 (extreme_undervalue),10.12,33.19,-0.6614,-0.513,-0.1484,13.35,11.42,9.48,2312252,1.11,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2025/04/11,买入,淮北矿业(600985),41100,123300,12.26,25.00,49.0,低估,当前价格低估51.0%，符合安全边际要求,503886.0,614.74,加仓 50%持仓价值 (extreme_undervalue),12.26,33.81,-0.5763,-0.5409,-0.0354,14.83,13.7,12.58,1072976,1.22,下轨之下,✓,✓,✗,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
