日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2021-01-08 00:00:00,601919,中远海控(601919),SELL,15.29,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2021-01-08 00:00:00,15.29,327000,0.05,65400,261600,0.04,20.0,0.76,满足,航运港口,88.09,38.12,70.35,34.95,74.46,极端信号,无背离信号,卖出,2.0537,1.4068,0.647,红色,连续放大,无交叉,无,8.09,13.51,2.66,突破上轨,10865635,5624626,1.93,是,卖出,"[8.88, 10.07, 11.48, 12.21, 15.29]","[6589489, 5516954, 6891805, 8907141, 10865635]",数据长度137条,无,601919_20210108_SELL_1610064000
2021-07-09 00:00:00,002738,中矿资源(002738),SELL,60.4,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2021-07-09 00:00:00,60.4,294200,0.1392,235300,58900,0.0279,60.0,1.01,满足,小金属,82.68,33.4,68.09,31.0,75.19,极端信号,无背离信号,卖出,6.6537,4.4074,2.2464,红色,连续放大,无交叉,无,33.61,53.65,13.58,突破上轨,927416,697631,1.33,是,卖出,"[43.1, 41.21, 40.64, 47.93, 60.4]","[725054, 514308, 561265, 662367, 927416]",数据长度163条,无,002738_20210709_SELL_1625788800
2021-08-27 00:00:00,002460,赣锋锂业(002460),SELL,196.35,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2021-08-27 00:00:00,196.35,40400,0.0554,40400,0,0.0,50.0,3.93,满足,能源金属,72.87,25.33,66.06,22.83,72.56,极端信号,无背离信号,卖出,23.9213,18.8462,5.0751,红色,连续缩短,无交叉,卖出,140.68,210.24,71.12,区间内,1706562,1795032,0.95,否,无,"[194.66, 191.02, 176.28, 180.25, 196.35]","[2023707, 2301466, 1634906, 1827999, 1706562]",数据长度170条,无,002460_20210827_SELL_1630022400
2021-09-17 00:00:00,600079,人福医药(600079),BUY,19.55,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2021-09-17 00:00:00,19.55,0,0.0,809500,809500,0.1,28.0,0.7,满足,化学制药,31.31,35.53,73.1,31.82,79.75,极端信号,无背离信号,买入,-2.2398,-1.745,-0.4948,绿色,连续缩短,无交叉,无,25.45,31.22,19.69,跌破下轨,961711,688682,1.4,是,买入,"[23.4, 21.9, 22.4, 21.9, 19.55]","[633172, 591683, 672201, 658056, 961711]",数据长度172条,无,600079_20210917_BUY_1631836800
2021-12-10 00:00:00,002738,中矿资源(002738),SELL,75.77,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2021-12-10 00:00:00,75.77,58900,0.038,58900,0,0.0,60.0,1.26,满足,小金属,68.19,33.4,68.09,31.0,75.19,普通信号,无背离信号,卖出,6.0628,5.6731,0.3897,红色,连续放大,DIF金叉DEA,无,60.81,72.77,48.85,突破上轨,961250,845166,1.14,是,卖出,"[54.63, 58.89, 65.82, 70.78, 75.77]","[592997, 714971, 635170, 587746, 961250]",数据长度185条,无,002738_20211210_SELL_1639094400
2022-09-30 00:00:00,601919,中远海控(601919),BUY,11.02,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2022-09-30 00:00:00,11.02,269448,0.019,134700,404148,0.0285,20.0,0.55,满足,航运港口,29.57,38.12,70.35,34.95,74.46,极端信号,无背离信号,买入,-1.0065,-0.84,-0.1665,绿色,连续缩短,无交叉,无,13.81,15.96,11.67,跌破下轨,4902918,5869779,0.84,否,买入,"[13.33, 13.29, 12.56, 11.97, 11.02]","[12097182, 5331373, 3593166, 4033081, 4902918]",数据长度226条,无,601919_20220930_BUY_1664496000
2022-10-28 00:00:00,600900,长江电力(600900),BUY,20.68,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2022-10-28 00:00:00,20.68,517000,0.0724,258500,775500,0.1087,39.0,0.53,满足,电力,30.74,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.2071,0.144,-0.3512,绿色,连续缩短,无交叉,无,23.52,25.18,21.86,跌破下轨,3304153,2173998,1.52,否,买入,"[23.33, 22.74, 22.96, 22.41, 20.68]","[1275484, 2609139, 2394565, 2024194, 3304153]",数据长度227条,无,600900_20221028_BUY_1666915200
2022-10-28 00:00:00,601919,中远海控(601919),BUY,11.25,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2022-10-28 00:00:00,11.25,404148,0.0308,202000,606148,0.0462,20.0,0.56,满足,航运港口,32.21,38.12,70.35,34.95,74.46,极端信号,无背离信号,买入,-1.1194,-0.9653,-0.1541,绿色,连续放大,无交叉,买入,13.25,15.67,10.82,区间内,4268322,5739865,0.74,否,无,"[11.97, 11.02, 11.39, 11.39, 11.25]","[4033081, 4902918, 5557241, 4649206, 4268322]",数据长度229条,无,601919_20221028_BUY_1666915200
2022-11-04 00:00:00,600900,长江电力(600900),BUY,20.14,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2022-11-04 00:00:00,20.14,775500,0.1053,329300,1104800,0.15,39.0,0.52,满足,电力,28.29,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.4111,0.033,-0.4441,绿色,连续缩短,无交叉,无,23.33,25.53,21.12,跌破下轨,4302023,2249394,1.91,是,买入,"[22.74, 22.96, 22.41, 20.68, 20.14]","[2609139, 2394565, 2024194, 3304153, 4302023]",数据长度228条,无,600900_20221104_BUY_1667520000
2022-11-11 00:00:00,600900,长江电力(600900),BUY,20.45,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2022-11-11 00:00:00,20.45,1104800,0.148,14600,1119400,0.15,39.0,0.52,满足,电力,31.65,37.37,64.42,32.22,69.22,极端信号,无背离信号,买入,-0.5415,-0.0819,-0.4596,绿色,连续缩短,无交叉,无,23.17,25.7,20.64,跌破下轨,3366597,2251409,1.5,否,买入,"[22.96, 22.41, 20.68, 20.14, 20.45]","[2394565, 2024194, 3304153, 4302023, 3366597]",数据长度229条,无,600900_20221111_BUY_1668124800
2022-12-23 00:00:00,600900,长江电力(600900),BUY,20.41,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,未执行,单股仓位已达上限,,0.0,1119400,0.1528,0,1119400,0.1528,39.0,0.52,满足,电力,35.9,37.37,64.42,32.22,69.22,普通信号,无背离信号,买入,-0.6715,-0.4747,-0.1969,绿色,连续放大,无交叉,买入,22.28,25.06,19.5,区间内,1767792,2173406,0.81,否,无,"[21.81, 21.37, 20.92, 20.86, 20.41]","[1637487, 2472787, 2369951, 1805819, 1767792]",数据长度235条,无,600900_20221223_BUY_1671753600
2023-06-21 00:00:00,000933,神火股份(000933),BUY,13.01,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2023-06-21 00:00:00,13.01,1256200,0.1069,506600,1762800,0.15,37.0,0.35,满足,工业金属,37.64,38.45,70.61,33.57,76.29,普通信号,无背离信号,买入,-0.8343,-0.3423,-0.492,绿色,连续放大,无交叉,买入,16.31,20.49,12.14,区间内,862738,1651875,0.52,否,无,"[13.17, 13.5, 14.05, 13.8, 13.01]","[1277026, 1881043, 2487448, 2306184, 862738]",数据长度261条,无,000933_20230621_BUY_1687305600
2023-06-30 00:00:00,000933,神火股份(000933),BUY,13.0,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2023-06-30 00:00:00,13.0,1762800,0.1467,39600,1802400,0.15,37.0,0.35,满足,工业金属,37.6,38.45,70.61,33.57,76.29,普通信号,无背离信号,买入,-0.9136,-0.4566,-0.457,绿色,连续放大,无交叉,买入,16.11,20.5,11.71,区间内,1567946,1660435,0.94,否,无,"[13.5, 14.05, 13.8, 13.01, 13.0]","[1881043, 2487448, 2306184, 862738, 1567946]",数据长度262条,无,000933_20230630_BUY_1688083200
