日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,RSI 极端信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2024/01/26,SELL,淮北矿业(600985),57800,231500,17.57,25.00,70.3,低估,当前价格低估29.7%，但未达到安全边际要求,1015546.0,2254.51,减仓 20% (slight_undervalue_sell),17.57,70.63,1.1206,0.9146,0.206,18.25,15.32,12.4,72488502,0.82,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/02/02,BUY,中矿资源(002738),62100,186400,29.52,100.00,29.5,低估,当前价格低估70.5%，符合安全边际要求,1833192.0,2199.83,加仓 50%持仓价值 (extreme_undervalue),29.52,31.18,-3.7633,-4.5283,0.765,40.74,36.59,32.44,129328010,0.89,下轨之下,✓,✓,✗,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2024/02/02,BUY,人福医药(600079),42800,257000,18.76,28.00,67.0,低估,当前价格低估33.0%，符合安全边际要求,802928.0,979.57,加仓 20%持仓价值 (obvious_undervalue),18.76,30.14,-0.6593,-0.1514,-0.5079,27.11,23.68,20.25,94519381,1.42,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2024/02/02,BUY,安井食品(603345),25900,77700,71.99,128.00,56.2,低估,当前价格低估43.8%，符合安全边际要求,1864541.0,2274.74,加仓 50%持仓价值 (extreme_undervalue),71.99,21.83,-14.8092,-12.2409,-2.5682,140.87,109.21,77.55,31157690,1.11,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,食品加工,55.58,26.75,63.03,24.82
2024/02/23,SELL,中国神华(601088),74300,74400,39.85,45.00,88.6,低估,当前价格低估11.4%，但未达到安全边际要求,2960855.0,6573.1,减仓 50% (fair_value),39.85,83.07,2.1932,1.4132,0.7799,38.97,32.98,26.99,184425785,1.38,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/02/23,SELL,淮北矿业(600985),46300,185200,19.59,25.00,78.4,低估,当前价格低估21.6%，但未达到安全边际要求,907017.0,2013.58,减仓 20% (slight_undervalue_sell),19.59,78.12,1.3329,1.1025,0.2304,19.56,16.27,12.97,163186487,1.87,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/03/08,SELL,中国神华(601088),37200,37200,39.75,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,1478700.0,3282.71,减仓 50% (fair_value),39.75,75.71,2.4153,1.7509,0.6644,40.6,33.81,27.01,179726043,1.28,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/05/17,SELL,中远海控(601919),105300,421500,14.06,20.00,70.3,低估,当前价格低估29.7%，但未达到安全边际要求,1480518.0,3286.75,减仓 20% (slight_undervalue_sell),14.06,81.64,0.6942,0.3235,0.3707,13.0,10.74,8.48,1191461242,1.57,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,航运港口,70.35,38.12,74.46,34.95
2024/06/28,SELL,中国神华(601088),18600,18600,44.37,45.00,98.6,低估,当前价格低估1.4%，但未达到安全边际要求,825282.0,1832.13,减仓 50% (fair_value),44.37,70.74,2.5844,2.3999,0.1844,44.99,40.62,36.26,104164098,0.89,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2024/08/02,SELL,长江电力(600900),42400,170000,30.24,39.00,77.5,低估,当前价格低估22.5%，但未达到安全边际要求,1282176.0,2846.43,减仓 20% (slight_undervalue_sell),30.24,75.68,1.5923,1.3181,0.2742,31.25,27.25,23.25,356538657,0.85,轨道之间,✓,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,电力,64.42,37.37,69.22,32.22
