日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2024/01/26,买入,安井食品(603345),16300,16300,81.5,126.00,64.7,低估,当前价格低估35.3%，符合安全边际要求,1328450.0,1620.71,现金买入,81.5,25.02,-13.6864,-11.8602,-1.8262,141.49,112.57,83.64,519030,2.18,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/02,买入,中矿资源(002738),9500,57198,29.52,50.00,59.0,低估,当前价格低估41.0%，符合安全边际要求,280440.0,336.53,持仓增持,29.52,31.14,-4.0058,-4.8076,0.8017,40.83,36.65,32.48,1293280,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/02,买入,赣锋锂业(002460),30400,30400,33.16,50.00,66.3,低估,当前价格低估33.7%，符合安全边际要求,1008064.0,1209.68,现金买入,33.16,27.39,-4.6746,-4.9264,0.2518,48.82,42.57,36.31,1372362,0.86,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+3个买入维度,未知,70,30
2024/02/02,买入,安井食品(603345),3200,19500,71.99,126.00,57.1,低估,当前价格低估42.9%，符合安全边际要求,230368.0,281.05,持仓增持,71.99,22.06,-15.097,-12.5076,-2.5894,142.16,109.6,77.04,311577,1.11,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/08,买入,中矿资源(002738),11400,68598,31.58,50.00,63.2,低估,当前价格低估36.8%，符合安全边际要求,360012.0,432.01,持仓增持,31.58,35.57,-4.0961,-4.6653,0.5692,41.04,36.35,31.66,1120390,0.85,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/02/08,买入,赣锋锂业(002460),6000,36400,34.87,50.00,69.7,低估,当前价格低估30.3%，符合安全边际要求,209220.0,251.06,持仓增持,34.87,31.51,-4.814,-4.904,0.0899,48.97,42.03,35.1,1139750,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2024/03/08,卖出,中国神华(601088),16100,64400,39.75,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,639975.0,1420.74,转现金,39.75,75.71,2.394,1.6428,0.7512,40.06,33.44,26.82,1797260,0.98,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/03/29,卖出,中国神华(601088),12800,51600,39.09,45.00,86.9,低估,当前价格低估13.1%，但未达到安全边际要求,500352.0,1110.78,转现金,39.09,67.49,2.32,1.967,0.353,41.43,34.59,27.75,1812477,0.97,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/04/03,卖出,中国神华(601088),10300,41300,39.59,45.00,88.0,低估,当前价格低估12.0%，但未达到安全边际要求,407777.0,905.26,转现金,39.59,68.68,2.363,2.0462,0.3168,41.98,35.01,28.04,989037,0.59,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/04/12,卖出,中国神华(601088),8200,33100,39.73,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,325786.0,723.24,转现金,39.73,69.02,2.381,2.1132,0.2678,42.44,35.46,28.47,1136967,0.81,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/06/28,卖出,中国神华(601088),6600,26500,44.37,45.00,98.6,低估,当前价格低估1.4%，但未达到安全边际要求,292842.0,650.11,转现金,44.37,70.82,2.6661,2.4825,0.1836,44.99,40.62,36.26,1041641,0.89,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,未知,70,30
2024/09/13,买入,人福医药(600079),77400,77400,16.13,28.00,57.6,低估,当前价格低估42.4%，符合安全边际要求,1248462.0,1523.12,现金买入,16.13,34.22,-0.64,-0.6949,0.0549,21.43,18.93,16.43,1253099,1.52,下轨之下,✓,✗,✓,✓,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2025/03/14,买入,中煤能源(601898),63200,379600,10.38,20.00,51.9,低估,当前价格低估48.1%，符合安全边际要求,656016.0,800.34,持仓增持,10.38,35.26,-0.6354,-0.4326,-0.2028,13.66,11.7,9.74,2112313,1.15,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2025/03/21,买入,中煤能源(601898),75900,455500,10.23,20.00,51.1,低估,当前价格低估48.9%，符合安全边际要求,776457.0,947.28,持仓增持,10.23,34.07,-0.6492,-0.4759,-0.1733,13.49,11.55,9.62,1912858,0.97,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2025/03/28,买入,中煤能源(601898),91100,546600,10.12,20.00,50.6,低估,当前价格低估49.4%，符合安全边际要求,921932.0,1124.76,持仓增持,10.12,33.19,-0.6614,-0.513,-0.1484,13.35,11.42,9.48,2312252,1.11,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2025/04/03,买入,中煤能源(601898),109300,655900,10.4,20.00,52.0,低估,当前价格低估48.0%，符合安全边际要求,1136720.0,1386.8,持仓增持,10.4,37.61,-0.6411,-0.5386,-0.1024,13.17,11.3,9.42,1227785,0.65,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
2025/04/11,买入,中煤能源(601898),131100,787000,9.87,20.00,49.4,低估,当前价格低估50.6%，符合安全边际要求,1293957.0,1578.63,持仓增持,9.87,33.14,-0.6601,-0.5629,-0.0972,13.0,11.15,9.3,2208357,1.15,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,未知,70,30
