日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2024-01-26 00:00:00,600985,淮北矿业(600985),SELL,17.57,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-01-26 00:00:00,17.57,289300,0.0509,57800,231500,0.0408,25.0,0.7,满足,煤炭开采,70.44,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,1.1339,0.92,0.2138,红色,连续缩短,无交叉,卖出,15.25,18.38,12.12,区间内,724885,884958,0.82,否,无,"[16.63, 17.72, 17.28, 16.71, 17.57]","[1431281, 1029344, 841016, 944588, 724885]",数据长度138条,无,600985_20240126_SELL_1706227200
2024-02-02 00:00:00,002738,中矿资源(002738),BUY,29.52,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,29.52,124300,0.0384,62100,186400,0.0576,100.0,0.3,满足,小金属,31.14,33.4,68.09,31.0,75.19,普通信号,无背离信号,买入,-4.006,-4.8078,0.8018,红色,连续缩短,无交叉,无,36.65,40.83,32.48,跌破下轨,1293280,1456877,0.89,否,买入,"[36.14, 40.2, 38.49, 37.15, 29.52]","[625667, 1684364, 1597242, 1252624, 1293280]",数据长度139条,无,002738_20240202_BUY_1706832000
2024-02-02 00:00:00,600079,人福医药(600079),BUY,18.76,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,18.76,214200,0.0421,42800,257000,0.0505,28.0,0.67,满足,化学制药,30.6,35.53,73.1,31.82,79.75,极端信号,无背离信号,买入,-0.6558,-0.1492,-0.5066,绿色,连续缩短,无交叉,无,23.71,27.17,20.25,跌破下轨,945194,663349,1.42,是,买入,"[24.15, 23.34, 22.52, 21.41, 18.76]","[501049, 439291, 435168, 833744, 945194]",数据长度139条,无,600079_20240202_BUY_1706832000
2024-02-02 00:00:00,603345,安井食品(603345),BUY,71.99,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,71.99,51800,0.039,25900,77700,0.0585,128.0,0.56,满足,食品加工,22.06,26.75,55.58,24.82,63.03,极端信号,无背离信号,买入,-15.0979,-12.5089,-2.589,绿色,连续缩短,无交叉,无,109.6,142.16,77.04,跌破下轨,311577,281327,1.11,否,买入,"[94.75, 96.42, 96.24, 81.5, 71.99]","[137101, 173604, 121098, 519030, 311577]",数据长度139条,无,603345_20240202_BUY_1706832000
2024-02-23 00:00:00,600985,淮北矿业(600985),SELL,19.59,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-02-23 00:00:00,19.59,231500,0.0437,46300,185200,0.0349,25.0,0.78,满足,煤炭开采,77.59,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,1.3332,1.0747,0.2585,红色,连续放大,无交叉,无,16.05,19.35,12.75,突破上轨,1631865,1053290,1.55,是,卖出,"[16.71, 17.57, 17.41, 18.3, 19.59]","[944588, 724885, 777789, 1078623, 1631865]",数据长度141条,无,600985_20240223_SELL_1708646400
2024-03-08 00:00:00,601088,中国神华(601088),SELL,39.75,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-03-08 00:00:00,39.75,148700,0.0557,74300,74400,0.0279,45.0,0.88,满足,煤炭开采,75.7,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,2.394,1.6429,0.7512,红色,连续缩短,无交叉,卖出,33.44,40.06,26.82,区间内,1797260,1838697,0.98,否,无,"[37.02, 38.07, 39.85, 38.38, 39.75]","[1772628, 1724283, 1844258, 1988987, 1797260]",数据长度143条,无,601088_20240308_SELL_1709856000
2024-05-17 00:00:00,601919,中远海控(601919),SELL,14.06,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-05-17 00:00:00,14.06,526800,0.067,105300,421500,0.0536,20.0,0.7,满足,航运港口,80.87,38.12,70.35,34.95,74.46,极端信号,无背离信号,卖出,0.6902,0.3148,0.3753,红色,连续放大,无交叉,无,10.71,13.01,8.42,突破上轨,11914612,7570408,1.57,是,卖出,"[10.98, 11.33, 11.77, 13.35, 14.06]","[6193228, 5295634, 3752817, 9318572, 11914612]",数据长度153条,无,601919_20240517_SELL_1715904000
2024-06-28 00:00:00,601088,中国神华(601088),SELL,44.37,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-06-28 00:00:00,44.37,74400,0.0314,37200,37200,0.0157,45.0,0.99,满足,煤炭开采,70.82,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,2.6661,2.4825,0.1836,红色,连续缩短,无交叉,卖出,40.62,44.99,36.26,区间内,1041641,1164830,0.89,否,无,"[42.33, 44.15, 44.35, 44.11, 44.37]","[1144732, 1410126, 972255, 1235299, 1041641]",数据长度159条,无,601088_20240628_SELL_1719532800
2024-08-02 00:00:00,600900,长江电力(600900),SELL,30.24,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-08-02 00:00:00,30.24,212400,0.0633,42400,170000,0.0506,39.0,0.78,满足,电力,75.62,37.37,64.42,32.22,69.22,极端信号,无背离信号,卖出,1.6086,1.3374,0.2712,红色,连续缩短,无交叉,卖出,27.25,31.25,23.25,区间内,3565387,4213300,0.85,否,无,"[29.32, 29.88, 30.58, 30.15, 30.24]","[3708490, 4060452, 4341904, 4885457, 3565387]",数据长度162条,无,600900_20240802_SELL_1722556800
2024-08-09 00:00:00,600900,长江电力(600900),SELL,29.54,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-08-09 00:00:00,29.54,170000,0.0496,34000,136000,0.0397,39.0,0.76,满足,电力,67.98,37.37,64.42,32.22,69.22,普通信号,无背离信号,卖出,1.553,1.3805,0.1725,红色,连续缩短,无交叉,卖出,27.47,31.45,23.5,区间内,3308522,4025317,0.82,否,无,"[29.88, 30.58, 30.15, 30.24, 29.54]","[4060452, 4341904, 4885457, 3565387, 3308522]",数据长度163条,无,600900_20240809_SELL_1723161600
