日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,RSI 极端信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2015/03/20,SELL,淮北矿业(600985),121200,485200,19.57,25.00,78.3,低估,当前价格低估21.7%，但未达到安全边际要求,2371884.0,5265.58,减仓 20% (slight_undervalue_sell),19.57,71.04,0.9962,0.9692,0.027,18.99,17.32,15.65,141980,1.62,上轨之上,✓,✓,✗,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2015/03/27,SELL,淮北矿业(600985),242600,242600,20.78,25.00,83.1,低估,当前价格低估16.9%，但未达到安全边际要求,5041228.0,11191.53,减仓 50% (fair_value),20.78,75.24,1.173,1.0099,0.1631,19.72,17.55,15.38,165697,1.35,上轨之上,✓,✓,✗,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2015/04/30,SELL,淮北矿业(600985),121300,121300,21.96,25.00,87.8,低估,当前价格低估12.2%，但未达到安全边际要求,2663748.0,5913.52,减仓 50% (fair_value),21.96,71.1,1.6671,1.3931,0.274,22.65,18.69,14.73,162273,1.11,轨道之间,✓,✓,✗,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2015/05/29,SELL,淮北矿业(600985),97000,24300,25.07,25.00,100.3,高估,当前价格高估0.3%，存在估值风险,2431790.0,5398.57,减仓 80% (slight_overvalue),25.07,74.49,2.0113,1.6386,0.3727,25.03,19.81,14.6,368844,1.55,上轨之上,✓,✓,✗,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,69.3,34.31,77.83,31.73
2015/06/05,SELL,赣锋锂业(002460),62800,251400,35.95,50.00,71.9,低估,当前价格低估28.1%，但未达到安全边际要求,2257660.0,4966.85,减仓 20% (slight_undervalue_sell),35.95,77.83,2.6267,1.5228,1.1039,32.52,23.61,14.7,1810694,1.51,上轨之上,✓,✓,✓,✗,✓,3/4,卖出信号：价值比过滤器+2个卖出维度,能源金属,66.06,25.33,72.56,22.83
2015/07/10,BUY,淮北矿业(600985),12700,38215,10.7,25.00,42.8,低估,当前价格低估57.2%，符合安全边际要求,135890.0,165.79,加仓 50%持仓价值 (extreme_undervalue),10.7,33.47,0.6459,1.8344,-1.1886,30.1,21.53,12.97,186865,0.89,下轨之下,✓,✓,✗,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,69.3,34.31,77.83,31.73
2015/09/02,BUY,人福医药(600079),760600,760600,15.88,28.00,56.7,低估,当前价格低估43.3%，符合安全边际要求,12078328.0,14735.56,开仓 15%总资产 (extreme_undervalue),15.88,34.11,-4.4634,-1.7812,-2.6822,56.39,32.7,9.01,1017159,0.44,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2015/09/11,BUY,人福医药(600079),43900,804500,15.76,28.00,56.3,低估,当前价格低估43.7%，符合安全边际要求,691864.0,844.07,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入43900股),15.76,34.01,-4.8142,-2.3878,-2.4264,56.43,31.68,6.94,2466022,1.08,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2015/09/18,BUY,云铝股份(000807),805100,2415400,4.29,25.00,17.2,低估,当前价格低估82.8%，符合安全边际要求,3453879.0,4144.65,加仓 50%持仓价值 (extreme_undervalue),4.29,36.18,-0.8073,-0.4066,-0.4007,11.13,7.12,3.1,1218793,1.04,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2015/09/30,BUY,神火股份(000933),825000,2475100,4.05,37.00,10.9,低估,当前价格低估89.0%，符合安全边际要求,3341250.0,4009.5,加仓 50%持仓价值 (extreme_undervalue),4.05,35.47,-0.6914,-0.2895,-0.4019,10.46,6.57,2.69,464613,0.38,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2015/09/30,BUY,云铝股份(000807),473400,2888800,4.3,25.00,17.2,低估,当前价格低估82.8%，符合安全边际要求,2035620.0,2442.74,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入473400股),4.3,36.7,-0.8976,-0.5767,-0.3209,10.84,6.68,2.53,498655,0.42,轨道之间,✓,✓,✗,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2015/12/31,SELL,赣锋锂业(002460),251400,0,62.93,50.00,125.9,高估,当前价格高估25.9%，存在估值风险,15820602.0,34805.32,减仓 100% (extreme_overvalue),62.93,73.89,9.736,6.6402,3.0958,68.12,37.53,6.94,1341459,0.73,轨道之间,✓,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,能源金属,66.06,25.33,72.56,22.83
2017/06/02,BUY,中矿资源(002738),271600,814975,17.6,60.00,29.3,低估,当前价格低估70.7%，符合安全边际要求,4780160.0,5736.19,加仓 50%持仓价值 (extreme_undervalue),17.6,29.05,-1.7132,-0.7249,-0.9883,31.42,25.24,19.06,82732,1.01,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,小金属,68.09,33.4,75.19,31.0
2018/02/02,BUY,人福医药(600079),402200,1206700,15.08,28.00,53.9,低估,当前价格低估46.1%，符合安全边际要求,6065176.0,7399.51,加仓 50%持仓价值 (extreme_undervalue),15.08,31.0,-0.5291,-0.311,-0.2181,20.26,18.26,16.26,1117481,1.68,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,化学制药,73.1,35.53,79.75,31.82
2018/06/22,BUY,神火股份(000933),631500,3106600,4.81,37.00,13.0,低估,当前价格低估87.0%，符合安全边际要求,3037515.0,3645.02,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入631500股),4.81,28.0,-0.9714,-0.786,-0.1854,8.92,6.93,4.93,1365541,1.16,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2018/06/29,BUY,云铝股份(000807),474700,3363500,5.18,25.00,20.7,低估,当前价格低估79.3%，符合安全边际要求,2458946.0,2950.74,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入474700股),5.18,29.79,-0.9604,-0.7654,-0.195,9.33,7.31,5.3,1469893,0.96,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
2018/06/29,BUY,中远海控(601919),342900,1028700,4.92,20.00,24.6,低估,当前价格低估75.4%，符合安全边际要求,1687068.0,2058.22,加仓 50%持仓价值 (extreme_undervalue),4.92,32.79,-0.2759,-0.2214,-0.0546,6.53,5.82,5.11,1133434,1.01,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,航运港口,70.35,38.12,74.46,34.95
2018/07/06,BUY,云铝股份(000807),47900,3411400,4.73,25.00,18.9,低估,当前价格低估81.1%，符合安全边际要求,226567.0,271.88,加仓 50%持仓价值 (extreme_undervalue) (受15%总仓位上限约束，实际买入47900股),4.73,27.7,-1.037,-0.8197,-0.2173,9.45,7.16,4.87,1840931,1.16,下轨之下,✓,✓,✓,✗,✓,3/4,买入信号：价值比过滤器+2个买入维度,工业金属,70.61,38.45,76.29,33.57
